swarmsize,objective,ticks
18,1,13101
18,1,14130
18,1,14351
18,1,15132
18,1,14328
18,1,15032
18,1,14002
18,1,14405
18,1,14129
18,1,13979
18,1,13812
18,1,15036
18,1,13830
18,1,12871
18,1,14917
