swarmsize,objective,ticks
7,1,28877
7,1,19153
7,1,15580
7,1,14193
7,1,16228
7,1,41164
7,1,16989
7,1,17899
7,1,21034
7,1,52103
7,1,17185
7,1,29833
7,1,27484
7,1,31731
7,1,21091
