swarmsize,objective,ticks
10,1,25730
10,1,20097
10,1,20349
10,1,24380
10,1,26931
10,1,17032
10,1,20158
10,1,15416
10,1,16852
10,1,21873
10,1,17215
10,1,16865
10,1,20320
10,1,17684
10,1,15876
