swarmsize,objective,ticks
21,1,15970
21,1,14749
21,1,16470
21,1,16771
21,1,15992
21,1,15813
21,1,15537
21,1,15710
21,1,16294
21,1,16577
21,1,16929
21,1,17150
21,1,15727
21,1,17304
21,1,16263
