swarmsize,objective,ticks
16,1,13216
16,1,14871
16,1,16359
16,1,15211
16,1,14056
16,1,14978
16,1,16081
16,1,14430
16,1,15110
16,1,14611
16,1,13692
16,1,13661
16,1,14205
16,1,15763
16,1,14717
