swarmsize,objective,ticks
13,1,14831
13,1,16426
13,1,16909
13,1,14540
13,1,14822
13,1,15185
13,1,15247
13,1,19330
13,1,17686
13,1,17698
13,1,15124
13,1,13908
13,1,19534
13,1,14600
13,1,14558
