swarmsize,objective,ticks
9,1,20889
9,1,14716
9,1,25146
9,1,20907
9,1,25496
9,1,18882
9,1,20792
9,1,25754
9,1,25526
9,1,24846
9,1,25927
9,1,16293
9,1,19902
9,1,20006
9,1,18180
