swarmsize,objective,ticks
23,1,19380
23,1,18175
23,1,18433
23,1,17661
23,1,19272
23,1,21000
23,1,19183
23,1,18578
23,1,18939
23,1,18360
23,1,19990
23,1,17631
23,1,19541
23,1,16981
23,1,18515
