swarmsize,objective,ticks
22,1,17400
22,1,17870
22,1,16342
22,1,16481
22,1,17507
22,1,17531
22,1,16137
22,1,17512
22,1,16356
22,1,17362
22,1,16622
22,1,17750
22,1,17172
22,1,18014
22,1,17914
