swarmsize,objective,ticks
25,1,22205
25,1,24845
25,1,23324
25,1,22349
25,1,20249
25,1,22301
25,1,19963
25,1,21206
25,1,20673
25,1,21829
25,1,21847
25,1,22830
25,1,20073
25,1,21262
25,1,21604
