swarmsize,objective,ticks
15,1,13217
15,1,15370
15,1,13383
15,1,16928
15,1,15608
15,1,15441
15,1,16830
15,1,12477
15,1,17214
15,1,16961
15,1,15090
15,1,15225
15,1,16326
15,1,14472
15,1,13326
