swarmsize,objective,ticks
19,1,16490
19,1,16013
19,1,16648
19,1,15012
19,1,14232
19,1,17338
19,1,15111
19,1,14574
19,1,15727
19,1,14104
19,1,14724
19,1,15343
19,1,15473
19,1,13779
19,1,16892
