swarmsize,objective,ticks
14,1,15480
14,1,15168
14,1,15129
14,1,18070
14,1,15254
14,1,12547
14,1,17056
14,1,14327
14,1,13643
14,1,11822
14,1,16136
14,1,14793
14,1,14725
14,1,16362
14,1,13641
